(0, 186)
(10, 2)
(20, 1)
(22, 1)
(34, 2)
(46, 1)
(48, 1)
(52, 2)
(54, 1)
(56, 2)
(58, 1)
(60, 2)
(62, 1)
(64, 1)
(66, 2)
(68, 3)
(76, 1)
(80, 1)
(86, 2)
(92, 1)
(94, 1)
(102, 1)
(110, 1)
(112, 1)
(116, 1)
(118, 1)
(120, 1)
(138, 1)
(142, 1)
(144, 1)
(146, 1)
(148, 2)
(152, 2)
(156, 1)
(162, 1)
(164, 2)
(168, 1)
(174, 1)
(180, 1)
(182, 2)
(194, 1)
(198, 1)
(208, 1)
(214, 1)
(218, 2)
(220, 1)
(224, 2)
(230, 2)
(234, 1)
(246, 1)
(262, 1)
(264, 1)
(266, 1)
(296, 1)
(322, 1)
(324, 1)
(332, 1)
(338, 1)
(352, 1)
(362, 1)
(376, 1)
(388, 1)
(402, 2)
(406, 1)
(420, 1)
(424, 2)
(436, 1)
(446, 1)
(464, 1)
(476, 1)
(586, 1)
(590, 1)
(608, 1)
(618, 1)
(636, 1)
(674, 1)
(734, 1)
(752, 1)
(878, 1)
(1008, 1)
(1034, 1)
(9, 2)
(11, 1)
(21, 1)
(29, 1)
(31, 1)
(35, 1)
(41, 1)
(43, 1)
(53, 1)
(59, 1)
(63, 1)
(71, 2)
(77, 1)
(79, 2)
(83, 2)
(87, 1)
(91, 1)
(93, 1)
(95, 1)
(97, 1)
(99, 2)
(113, 2)
(123, 1)
(131, 1)
(133, 1)
(141, 1)
(143, 1)
(145, 1)
(147, 1)
(155, 2)
(157, 1)
(167, 1)
(171, 1)
(173, 1)
(175, 2)
(177, 2)
(181, 1)
(183, 1)
(187, 2)
(191, 1)
(197, 1)
(199, 1)
(201, 1)
(205, 1)
(209, 1)
(213, 2)
(215, 1)
(221, 1)
(223, 1)
(229, 1)
(241, 1)
(243, 1)
(245, 1)
(249, 1)
(265, 1)
(269, 1)
(275, 1)
(283, 1)
(289, 1)
(295, 1)
(311, 1)
(315, 1)
(331, 1)
(339, 1)
(353, 1)
(359, 1)
(361, 1)
(363, 1)
(385, 1)
(387, 1)
(417, 1)
(427, 1)
(465, 1)
(581, 1)
(583, 1)
(619, 1)
(621, 1)
(657, 1)
(795, 1)
(811, 1)
(907, 1)
(1493, 1)
